tags,proverb
"memory, communication","Don't communicate by sharing memory, share memory by communicating."
"concurrency, parallelism","Concurrency is not parallelism."
"channel, mutex", "Channels orchestrate; mutexes serialize."
"interface, abstration", "The bigger the interface, the weaker the abstraction."
"zero value", "Make the zero value useful."
"interface", "interface{} says nothing."
"style, gofmt", "Gofmt's style is no one's favorite, yet gofmt is everyone's favorite."
"dependency", "A little copying is better than a little dependency."
"syscall, build", "Syscall must always be guarded with build tags."
"cgo, build", "Cgo must always be guarded with build tags."
"cgo","Cgo is not Go."
"unsafe","With the unsafe package there are no guarantees."
"clear","Clear is better than clever."
"reflect","Reflection is never clear."
"error","Errors are values."
"error","Don't just check errors, handle them gracefully."
"design","Design the architecture, name the components, document the details."
"doc","Documentation is for users."
"panic","Don't panic."
